Colonna1	Colonna2
Thermoplasmatales archaeon SCGC AB-539-N05	species
methanogenic archaeon ISO4-H5	species
Hadesarchaea	class
Hadesarchaea archaeon YNP_45	species
Hadesarchaea archaeon YNP_N21	species
Methanomada group	no rank
Methanobacteria	class
Methanobacteriales	order
Methanobacteriaceae	family
Methanobacterium	genus
Methanobacterium aarhusense	species
Methanobacterium alcaliphilum	species
Methanobacterium congolense	species
Methanobacterium ferruginis	species
Methanobacterium formicicum	species
Methanobacterium formicicum DSM 3637	no rank
Methanobacterium kanagiense	species
Methanobacterium lacus	species
Methanobacterium oryzae	species
Methanobacterium paludis	species
Methanobacterium palustre	species
Methanobacterium petrolearium	species
Methanobacterium sp. A39	species
Methanobacterium sp. BAmetb5	species
Methanobacterium sp. BRmetb2	species
Methanobacterium sp. MB1	species
Methanobacterium sp. MZ-A1	species
Methanobacterium sp. SMA-27	species
Methanobacterium subterraneum	species
Methanobacterium uliginosum	species
Methanobrevibacter	genus
Methanobrevibacter arboriphilus	species
Methanobrevibacter arboriphilus JCM 13429 = DSM 1125	no rank
Methanobrevibacter curvatus	species
Methanobrevibacter cuticularis	species
Methanobrevibacter filiformis	species
Methanobrevibacter millerae	species
Methanobrevibacter olleyae	species
Methanobrevibacter oralis	species
Methanobrevibacter ruminantium	species
Methanobrevibacter ruminantium M1	no rank
Methanobrevibacter smithii	species
Methanobrevibacter smithii ATCC 35061	no rank
Methanobrevibacter smithii DSM 2374	no rank
Methanobrevibacter smithii DSM 2375	no rank
Methanobrevibacter sp. A27	species
Methanobrevibacter sp. AbM4	species
Methanobrevibacter sp. YE315	species
Methanosphaera	genus
Methanosphaera sp. BMS	species
Methanosphaera sp. WGK6	species
Methanosphaera stadtmanae	species
Methanosphaera stadtmanae DSM 3091	no rank
Methanothermobacter	genus
Methanothermobacter marburgensis	species
Methanothermobacter marburgensis str. Marburg	no rank
Methanothermobacter sp. CaT2	species
Methanothermobacter sp. EMTCatA1	species
Methanothermobacter sp. MT-2	species
Methanothermobacter thermautotrophicus	species
Methanothermobacter thermautotrophicus str. Delta H	no rank
Methanothermobacter wolfeii	species
Methanothermaceae	family
Methanothermus	genus
Methanothermus fervidus	species
Methanothermus fervidus DSM 2088	no rank
Methanococci	class
Methanococcales	order
Methanocaldococcaceae	family
Methanocaldococcus	genus
Methanocaldococcus bathoardescens	species
Methanocaldococcus fervens	species
Methanocaldococcus fervens AG86	no rank
Methanocaldococcus infernus	species
Methanocaldococcus infernus ME	no rank
Methanocaldococcus jannaschii	species
Methanocaldococcus jannaschii DSM 2661	no rank
Methanocaldococcus sp. FS406-22	species
Methanocaldococcus villosus	species
Methanocaldococcus villosus KIN24-T80	no rank
Methanocaldococcus vulcanius	species
Methanocaldococcus vulcanius M7	no rank
Methanotorris	genus
Methanotorris formicicus	species
Methanotorris formicicus Mc-S-70	no rank
Methanotorris igneus	species
Methanotorris igneus Kol 5	no rank
Methanococcaceae	family
Methanococcus	genus
Methanococcus aeolicus	species
Methanococcus aeolicus Nankai-3	no rank
Methanococcus maripaludis	species
Methanococcus maripaludis C5	no rank
Methanococcus maripaludis C6	no rank
Methanococcus maripaludis C7	no rank
Methanococcus maripaludis KA1	no rank
Methanococcus maripaludis OS7	no rank
Methanococcus maripaludis X1	no rank
Methanococcus vannielii	species
Methanococcus vannielii SB	no rank
Methanococcus voltae	species
Methanococcus voltae A3	no rank
Methanothermococcus	genus
Methanothermococcus okinawensis	species
Methanothermococcus okinawensis IH1	no rank
Methanothermococcus thermolithotrophicus	species
Methanothermococcus thermolithotrophicus DSM 2095	no rank
Methanonatronarchaeia	class
Methanonatronarchaeales	order
Methanonatronarchaeaceae	family
Candidatus Methanohalarchaeum	genus
Candidatus Methanohalarchaeum thermophilum	species
Methanopyri	class
Methanopyrales	order
Methanopyraceae	family
Methanopyrus	genus
Methanopyrus kandleri	species
Methanopyrus kandleri AV19	no rank
Methanopyrus sp. KOL6	species
Methanopyrus sp. SNP6	species
Stenosarchaea group	no rank
Candidatus Nanohaloarchaeota	subphylum
Nanohaloarchaea	class
Candidatus Haloredivivus	no rank
Candidatus Haloredivivus sp. G17	species
Nanohaloarchaea archaeon PL-Br10_U2g27	species
Nanohaloarchaea archaeon SG9	species
Halobacteria	class
Halobacteriales	order
Haloarculaceae	family
Halapricum	genus
Halapricum salinum	species
Haloarcula	genus
Haloarcula hispanica	species
Haloarcula hispanica ATCC 33960	no rank
Haloarcula hispanica N601	no rank
Haloarcula japonica	species
Haloarcula japonica DSM 6131	no rank
Haloarcula marismortui	species
Haloarcula marismortui ATCC 43049	no rank
Haloarcula rubripromontorii	species
Haloarcula salaria	species
Haloarcula sinaiiensis	species
Haloarcula sinaiiensis ATCC 33800	no rank
Haloarcula sp. CBA1115	species
Haloarcula sp. CBA1127	species
Haloarcula sp. K1	species
Haloarcula taiwanensis	species
Halomicrobium	genus
Halomicrobium katesii	species
Halomicrobium katesii DSM 19301	no rank
Halomicrobium mukohataei	species
Halomicrobium mukohataei DSM 12286	no rank
Halorhabdus	genus
Halorhabdus tiamatea	species
Halorhabdus tiamatea SARL4B	no rank
Halorhabdus utahensis	species
Halorhabdus utahensis DSM 12940	no rank
Halorientalis	genus
Halorientalis regularis	species
Halorientalis sp. IM1011	species
Halosimplex	genus
Halosimplex carlsbadense	species
Natronomonas	genus
Natronomonas moolapensis	species
Natronomonas moolapensis 8.8.11	no rank
Natronomonas pharaonis	species
Natronomonas pharaonis DSM 2160	no rank
Natronomonas sp. CBA1134	species
Haloarculaceae archaeon HArcel1	species
Halobacteriaceae	family
Haladaptatus	genus
Haladaptatus cibarius	species
Haladaptatus cibarius D43	no rank
Haladaptatus paucihalophilus	species
Haladaptatus paucihalophilus DX253	no rank
Haladaptatus sp. R4	species
Halalkalicoccus	genus
Halalkalicoccus jeotgali	species
Halalkalicoccus jeotgali B3	no rank
Halalkalicoccus paucihalophilus	species
Halanaeroarchaeum	genus
Halanaeroarchaeum sulfurireducens	species
Halarchaeum	genus
Halarchaeum acidiphilum	species
Halarchaeum acidiphilum MH1-52-1	no rank
Haloarchaeobius	genus
Haloarchaeobius iranensis	species
Halobacterium	genus
Halobacterium hubeiense	species
Halobacterium jilantaiense	species
Halobacterium salinarum	species
Halobacterium salinarum NRC-1	no rank
Halobacterium salinarum R1	no rank
Halobacterium sp. DL1	species
Halodesulfurarchaeum	genus
Halodesulfurarchaeum formicicum	species
Halococcaceae	family
Halococcus	genus
Halococcus hamelinensis	species
Halococcus hamelinensis 100A6	no rank
Halococcus morrhuae	species
Halococcus morrhuae DSM 1307	no rank
Halococcus saccharolyticus	species
Halococcus saccharolyticus DSM 5350	no rank
Halococcus salifodinae	species
Halococcus salifodinae DSM 8989	no rank
Halococcus sediminicola	species
haloarchaeon 3A1_DGR	species
halophilic archaeon J07HB67	species
halophilic archaeon J07HX5	species
halophilic archaeon J07HX64	species
Haloferacales	order
Haloferacaceae	family
Halobellus	genus
Halobellus rufus	species
Haloferax	genus
Haloferax denitrificans	species
Haloferax denitrificans ATCC 35960	no rank
Haloferax elongans	species
Haloferax elongans ATCC BAA-1513	no rank
Haloferax gibbonsii	species
Haloferax larsenii	species
Haloferax larsenii JCM 13917	no rank
Haloferax mediterranei	species
Haloferax mediterranei ATCC 33500	no rank
Haloferax mucosum	species
Haloferax mucosum ATCC BAA-1512	no rank
Haloferax sp. ATCC BAA-644	species
Haloferax sp. ATCC BAA-646	species
Haloferax volcanii	species
Haloferax volcanii DS2	no rank
Halogeometricum	genus
Halogeometricum borinquense	species
Halogeometricum borinquense DSM 11551	no rank
Halogeometricum limi	species
Halogeometricum pallidum	species
Halogeometricum pallidum JCM 14848	no rank
Halogranum	genus
Halogranum salarium	species
Halogranum salarium B-1	no rank
Halopelagius	genus
Halopelagius inordinatus	species
Haloplanus	genus
Haloplanus natans	species
Haloplanus natans DSM 17983	no rank
Haloplanus sp. CBA1112	species
Haloplanus sp. CBA1113	species
Haloplanus vescus	species
Haloprofundus	genus
Haloprofundus marisrubri	species
Haloquadratum	genus
Haloquadratum sp. J07HQX50	species
Haloquadratum walsbyi	species
Haloquadratum walsbyi C23	no rank
Haloquadratum walsbyi DSM 16790	no rank
Haloquadratum walsbyi J07HQW2	no rank
Halorubraceae	family
Candidatus Halobonum	genus
Candidatus Halobonum tyrrellensis	species
Candidatus Halobonum tyrrellensis G22	no rank
Halobaculum	genus
Halobaculum gomorrense	species
Halohasta	genus
Halohasta litchfieldiae	species
Halolamina	genus
Halolamina pelagica	species
Halolamina rubra	species
Halolamina sediminis	species
Halolamina sp. CBA1230	species
Halonotius	genus
Halonotius sp. J07HN4	species
Halopenitus	genus
Halopenitus malekzadehii	species
Halopenitus persicus	species
Halorubrum	genus
Halorubrum aethiopicum	species
Halorubrum aquaticum	species
Halorubrum californiense	species
Halorubrum californiensis DSM 19288	no rank
Halorubrum coriense	species
Halorubrum coriense DSM 10284	no rank
Halorubrum ezzemoulense	species
Halorubrum ezzemoulense DSM 17463	no rank
Halorubrum halophilum	species
Halorubrum kocurii	species
Halorubrum kocurii JCM 14978	no rank
Halorubrum lacusprofundi	species
Halorubrum lacusprofundi ATCC 49239	no rank
Halorubrum lipolyticum	species
Halorubrum lipolyticum DSM 21995	no rank
Halorubrum litoreum	species
Halorubrum litoreum JCM 13561	no rank
Halorubrum saccharovorum	species
Halorubrum sp. AJ67	species
Halorubrum sp. BV1	species
Halorubrum sp. J07HR59	species
Halorubrum sp. SD626R	species
Halorubrum tebenquichense	species
Halorubrum tebenquichense DSM 14210	no rank
Halorubrum trapanicum	species
Halorubrum tropicale	species
Halorubrum xinjiangense	species
Salinigranum	genus
Salinigranum rubrum	species
halophilic archaeon DL31	species
Natrialbales	order
Natrialbaceae	family
Halobiforma	genus
Halobiforma haloterrestris	species
Halobiforma lacisalsi	species
Halobiforma lacisalsi AJ5	no rank
Halobiforma nitratireducens	species
Halobiforma nitratireducens JCM 10879	no rank
Halopiger	genus
Halopiger djelfimassiliensis	species
Halopiger goleimassiliensis	species
Halopiger xanaduensis	species
Halopiger xanaduensis SH-6	no rank
Halostagnicola	genus
Halostagnicola larsenii	species
Halostagnicola larsenii XH-48	no rank
Halostagnicola sp. A56	species
Haloterrigena	genus
Haloterrigena daqingensis	species
Haloterrigena mahii	species
Haloterrigena saccharevitans	species
Haloterrigena salina	species
Haloterrigena salina JCM 13891	no rank
Haloterrigena turkmenica	species
Haloterrigena turkmenica DSM 5511	no rank
Halovivax	genus
Halovivax asiaticus	species
Halovivax asiaticus JCM 14624	no rank
Halovivax ruber	species
Halovivax ruber XH-70	no rank
Natrialba	genus
Natrialba asiatica	species
Natrialba asiatica DSM 12278	no rank
Natrialba chahannaoensis	species
Natrialba chahannaoensis JCM 10990	no rank
Natrialba magadii	species
Natrialba magadii ATCC 43099	no rank
Natrialba taiwanensis	species
Natrialba taiwanensis DSM 12281	no rank
Natrinema	genus
Natrinema altunense	species
Natrinema pallidum	species
Natrinema pallidum DSM 3751	no rank
Natrinema pellirubrum	species
Natrinema pellirubrum DSM 15624	no rank
Natrinema sp. J7-2	species
Natrinema sp. XA3-1	species
Natronobacterium	genus
Natronobacterium gregoryi	species
Natronobacterium gregoryi SP2	no rank
Natronococcus	genus
Natronococcus occultus	species
Natronococcus occultus SP4	no rank
Natronolimnobius	genus
Natronolimnobius aegyptiacus	species
Natronolimnobius baerhuensis	species
Natronolimnobius baerhuensis JCM 12253 = CGMCC 1.3597	no rank
Natronolimnobius sp. AArc-Mg	species
Natronolimnobius sp. AArc1	species
Natronorubrum	genus
Natronorubrum sulfidifaciens	species
Natronorubrum sulfidifaciens JCM 14089	no rank
Natronorubrum thiooxidans	species
Natronorubrum tibetense	species
Natronorubrum tibetense GA33	no rank
Salinarchaeum	genus
Salinarchaeum sp. Harcht-Bsk1	species
Methanomicrobia	class
Methanocellales	order
Methanocellaceae	family
Methanocella	genus
Methanocella arvoryzae	species
Methanocella arvoryzae MRE50	no rank
Methanocella conradii	species
Methanocella conradii HZ254	no rank
Methanocella paludicola	species
Methanocella paludicola SANAE	no rank
Methanocella sp. PtaU1.Bin125	species
Methanomicrobiales	order
Methanocorpusculaceae	family
Methanocorpusculum	genus
Methanocorpusculum bavaricum	species
Methanocorpusculum bavaricum DSM 4179	no rank
Methanocorpusculum labreanum	species
Methanocorpusculum labreanum Z	no rank
Methanomicrobiaceae	family
Methanoculleus	genus
Methanoculleus bourgensis	species
Methanoculleus bourgensis MS2	no rank
Methanoculleus chikugoensis	species
Methanoculleus horonobensis	species
Methanoculleus marisnigri	species
Methanoculleus marisnigri JR1	no rank
Methanoculleus sediminis	species
Methanoculleus sp. EBM-46	species
Methanoculleus sp. MAB1	species
Methanoculleus thermophilus	species
Methanofollis	genus
Methanofollis ethanolicus	species
Methanofollis liminatans	species
Methanofollis liminatans DSM 4140	no rank
Methanogenium	genus
Methanogenium cariaci	species
Methanogenium cariaci JCM 10550	no rank
Methanolacinia	genus
Methanolacinia petrolearia	species
Methanolacinia petrolearia DSM 11571	no rank
Methanoplanus	genus
Methanoplanus limicola	species
Methanoplanus limicola DSM 2279	no rank
Methanoregulaceae	family
Methanoregula	genus
Methanoregula boonei	species
Methanoregula boonei 6A8	no rank
Methanoregula formicica	species
Methanoregula formicica SMSP	no rank
Methanoregula sp. PtaB.Bin085	species
Methanosphaerula	genus
Methanosphaerula palustris	species
Methanosphaerula palustris E1-9c	no rank
Methanoregulaceae archaeon PtaU1.Bin059	species
Methanospirillaceae	family
Methanospirillum	genus
Methanospirillum hungatei	species
Methanospirillum hungatei JF-1	no rank
methanogenic archaeon mixed culture ISO4-G1	species
Methanosarcinales	order
Candidatus Methanoperedenaceae	family
Candidatus Methanoperedens	genus
Candidatus Methanoperedens nitroreducens	species
Candidatus Methanoperedens sp. BLZ1	species
Methanosaetaceae	family
Methanothrix	genus
Methanosaeta harundinacea	species
Methanosaeta harundinacea 6Ac	no rank
Methanosaeta sp. PtaB.Bin018	species
Methanothrix soehngenii	species
Methanothrix soehngenii GP6	no rank
Methanothrix thermoacetophila	species
Methanothrix thermoacetophila PT	no rank
Methanosarcinaceae	family
Methanococcoides	genus
Methanococcoides burtonii	species
Methanococcoides burtonii DSM 6242	no rank
Methanococcoides methylutens	species
Methanococcoides methylutens MM1	no rank
Methanohalobium	genus
Methanohalobium evestigatum	species
Methanohalobium evestigatum Z-7303	no rank
Methanohalophilus	genus
Methanohalophilus halophilus	species
Methanohalophilus mahii	species
Methanohalophilus mahii DSM 5219	no rank
Methanohalophilus portucalensis	species
Methanolobus	genus
Methanolobus profundi	species
Methanolobus psychrophilus	species
Methanolobus psychrophilus R15	no rank
Methanolobus sp. T82-4	species
Methanolobus tindarius	species
Methanolobus tindarius DSM 2278	no rank
Methanomethylovorans	genus
Methanomethylovorans hollandica	species
Methanomethylovorans hollandica DSM 15978	no rank
Methanosalsum	genus
Methanosalsum zhilinae	species
Methanosalsum zhilinae DSM 4017	no rank
Methanosarcina	genus
Methanosarcina acetivorans	species
Methanosarcina acetivorans C2A	no rank
Methanosarcina barkeri	species
Methanosarcina barkeri 227	no rank
Methanosarcina barkeri 3	no rank
Methanosarcina barkeri CM1	no rank
Methanosarcina barkeri MS	no rank
Methanosarcina barkeri str. Fusaro	no rank
Methanosarcina barkeri str. Wiesmoor	no rank
Methanosarcina flavescens	species
Methanosarcina horonobensis	species
Methanosarcina horonobensis HB-1 = JCM 15518	no rank
Methanosarcina lacustris	species
Methanosarcina lacustris Z-7289	no rank
Methanosarcina mazei	species
Methanosarcina mazei C16	no rank
Methanosarcina mazei Go1	no rank
Methanosarcina mazei LYC	no rank
Methanosarcina mazei S-6	no rank
Methanosarcina mazei SarPi	no rank
Methanosarcina mazei Tuc01	no rank
Methanosarcina mazei WWM610	no rank
Methanosarcina siciliae	species
Methanosarcina siciliae C2J	no rank
Methanosarcina siciliae HI350	no rank
Methanosarcina siciliae T4/M	no rank
Methanosarcina sp. 1.H.A.2.2	species
Methanosarcina sp. 795	species
Methanosarcina sp. Kolksee	species
Methanosarcina sp. MTP4	species
Methanosarcina sp. WH1	species
Methanosarcina sp. WWM596	species
Methanosarcina thermophila	species
Methanosarcina thermophila CHTI-55	no rank
Methanosarcina thermophila TM-1	no rank
Methanosarcina vacuolata	species
Methanosarcina vacuolata Z-761	no rank
Methermicoccaceae	family
Methermicoccus	genus
Methermicoccus shengliensis	species
Methermicoccus shengliensis DSM 18856	no rank
ANME-2 cluster	no rank
Candidatus Syntrophoarchaeum	genus
Candidatus Syntrophoarchaeum caldarius	species
Methanosarcinales archaeon Methan_01	species
Arc I group	no rank
Arc I group archaeon ADurb1013_Bin02101	species
Arc I group archaeon BMIXfssc0709_Meth_Bin006	species
Methanomicrobia archaeon JdFR-19	species
Thermococci	class
Thermococcales	order
Thermococcaceae	family
Palaeococcus	genus
Palaeococcus ferrophilus	species
Palaeococcus ferrophilus DSM 13482	no rank
Palaeococcus pacificus	species
Palaeococcus pacificus DY20341	no rank
Pyrococcus	genus
Pyrococcus furiosus	species
Pyrococcus furiosus COM1	no rank
Pyrococcus horikoshii	species
Pyrococcus horikoshii OT3	no rank
Pyrococcus kukulkanii	species
Pyrococcus sp. NA2	species
Pyrococcus sp. ST04	species
Pyrococcus yayanosii	species
Pyrococcus yayanosii CH1	no rank
Thermococcus	genus
Thermococcus barophilus	species
Thermococcus barophilus MP	no rank
Thermococcus barossii	species
Thermococcus celer	species
Thermococcus chitonophagus	species
Thermococcus cleftensis	species
Thermococcus eurythermalis	species
Thermococcus gammatolerans	species
Thermococcus gammatolerans EJ3	no rank
Thermococcus gorgonarius	species
Thermococcus guaymasensis	species
Thermococcus guaymasensis DSM 11113	no rank
Thermococcus kodakarensis	species
Thermococcus kodakarensis KOD1	no rank
Thermococcus litoralis	species
Thermococcus litoralis DSM 5473	no rank
Thermococcus nautili	species
Thermococcus onnurineus	species
Thermococcus onnurineus NA1	no rank
Thermococcus pacificus	species
Thermococcus paralvinellae	species
Thermococcus peptonophilus	species
Thermococcus piezophilus	species
Thermococcus profundus	species
Thermococcus radiotolerans	species
Thermococcus sibiricus	species
Thermococcus sibiricus MM 739	no rank
Thermococcus siculi	species
Thermococcus sp. 2319x1	species
Thermococcus sp. 4557	species
Thermococcus sp. 5-4	species
Thermococcus sp. AM4	species
Thermococcus sp. EP1	species
Thermococcus sp. EXT12c	species
Thermococcus sp. P6	species
Thermococcus thioreducens	species
Thermococcus zilligii	species
Thermococcus zilligii AN1	no rank
candidate division MSBL1	no rank
candidate division MSBL1 archaeon SCGC-AAA259A05	species
candidate division MSBL1 archaeon SCGC-AAA259D14	species
candidate division MSBL1 archaeon SCGC-AAA259E17	species
candidate division MSBL1 archaeon SCGC-AAA261D19	species
candidate division MSBL1 archaeon SCGC-AAA382A13	species
candidate division MSBL1 archaeon SCGC-AAA382A20	species
candidate division MSBL1 archaeon SCGC-AAA382C18	species
candidate division MSBL1 archaeon SCGC-AAA382K21	species
candidate division MSBL1 archaeon SCGC-AAA382N08	species
candidate division MSBL1 archaeon SCGC-AAA385D11	species
candidate division MSBL1 archaeon SCGC-AAA833K04	species
Euryarchaeota archaeon JdFR-21	species
Euryarchaeota archaeon SM23-78	species
TACK group	no rank
Candidatus Bathyarchaeota	phylum
Candidatus Bathyarchaeota archaeon JdFR-08	species
Candidatus Bathyarchaeota archaeon JdFR-10	species
Candidatus Bathyarchaeota archaeon TCS64	species
Candidatus Geothermarchaeota	no rank
Candidatus Geothermarchaeota archaeon JdFR-14	species
Candidatus Korarchaeota	phylum
Candidatus Korarchaeum	genus
Candidatus Korarchaeum cryptofilum	species
Candidatus Korarchaeum cryptofilum OPF8	no rank
Candidatus Verstraetearchaeota	phylum
Candidatus Methanomethylia	class
Candidatus Methanomethyliales	order
Candidatus Methanomethyliaceae	family
Candidatus Methanomethylicus	genus
Candidatus Methanomethylicus mesodigestum	species
Candidatus Methanomethylicus oleusabulum	species
Candidatus Methanosuratus	genus
Candidatus Methanosuratus petracarbonis	species
Crenarchaeota <phylum>	phylum
Thermoprotei	class
Acidilobales	order
Acidilobaceae	family
Acidilobus	genus
Acidilobus saccharovorans	species
Acidilobus saccharovorans 345-15	no rank
Acidilobus sp. 7A	species
Caldisphaeraceae	family
Caldisphaera	genus
Caldisphaera lagunensis	species
Caldisphaera lagunensis DSM 15908	no rank
Desulfurococcales	order
Desulfurococcaceae	family
Aeropyrum	genus
Aeropyrum camini	species
Aeropyrum camini SY1 = JCM 12091	no rank
Aeropyrum pernix	species
Desulfurococcus	genus
Desulfurococcus amylolyticus	species
Desulfurococcus amylolyticus 1221n	no rank
Desulfurococcus amylolyticus DSM 16532	no rank
Desulfurococcus mucosus	species
Desulfurococcus mucosus DSM 2162	no rank
Ignicoccus	genus
Ignicoccus hospitalis	species
Ignicoccus hospitalis KIN4/I	no rank
Ignicoccus islandicus	species
Ignicoccus islandicus DSM 13165	no rank
Ignisphaera	genus
Ignisphaera aggregans	species
Ignisphaera aggregans DSM 17230	no rank
Staphylothermus	genus
Staphylothermus hellenicus	species
Staphylothermus hellenicus DSM 12710	no rank
Staphylothermus marinus	species
Staphylothermus marinus F1	no rank
Thermogladius	genus
Thermogladius calderae	species
Thermogladius calderae 1633	no rank
Thermosphaera	genus
Thermosphaera aggregans	species
Thermosphaera aggregans DSM 11486	no rank
Pyrodictiaceae	family
Hyperthermus	genus
Hyperthermus butylicus	species
Hyperthermus butylicus DSM 5456	no rank
Pyrodictium	genus
